Source_ID,Platform,Cleaned_Text,Pain_Point,Evidence_Keyword,Confidence
GRP-BILI-DM-BV1UX4y117Em-012377,bilibili,这也太贵了。就算有细节，感觉700左右能接受,价格高,太贵,0.78
GRP-BILI-DM-BV1jR4y1t7aT-014097,bilibili,鹿头太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1QE411t7zv-015199,bilibili,111111 这双很喜欢 可惜现在太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1kSKHe6EMn-015951,bilibili,买小鹰光线，然后把拉锁换掉军绿色的。,拉链问题,拉锁,0.78
GRP-BILI-DM-BV1Db411w7Eu-016550,bilibili,玩不起先锋那种比如acg什么的太贵了￼,价格高,太贵,0.78
GRP-BILI-DM-BV1QR4y177PS-017220,bilibili,好贵。,价格高,好贵,0.78
GRP-BILI-DM-BV1Ew4m1272c-019090,bilibili,叔味儿太重 哈哈哈哈哈,太重,太重,0.78
GRP-BILI-DM-BV1WJ411B7iK-019910,bilibili,mmw太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1WJ411B7iK-019941,bilibili,ACG太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV11b411w7Gj-020445,bilibili,并不耐磨,不耐磨,不耐磨,0.81
GRP-BILI-DM-BV12k4y127na-020833,bilibili,如果穿短袖在里面，这件内里压胶贴到皮肤很不透气。还有袖口不能束紧,不透气,不透气,0.81
GRP-BILI-DM-BV12k4y127na-020841,bilibili,太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1aJ411A7zx-021193,bilibili,这鞋太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1aJ411A7zx-021294,bilibili,不实用,不适合通勤,不实用,0.81
GRP-BILI-DM-BV1nA411N7Ek-021733,bilibili,18真不值,价格高,不值,0.78
GRP-BILI-DM-BV1nA411N7Ek-021746,bilibili,18元不值,价格高,不值,0.78
GRP-BILI-DM-BV1nA411N7Ek-021760,bilibili,不值,价格高,不值,0.78
GRP-BILI-DM-BV1RV411U7Dc-022080,bilibili,太贵了吧,价格高,太贵,0.78
GRP-BILI-DM-BV1WP4y1i7r3-022800,bilibili,百把块还行，贵了不值,价格高,不值,0.78
GRP-BILI-DM-BV1Wm4y1F7y7-023141,bilibili,防风效果：滴水不漏；防水效果：密不透风,不透气,不透风,0.81
GRP-BILI-DM-BV1Wm4y1F7y7-023167,bilibili,抱歉太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1Wm4y1F7y7-023219,bilibili,告辞太贵,价格高,太贵,0.78
GRP-BILI-DM-BV1Wm4y1F7y7-023314,bilibili,马盖先就行了，DA太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1Wm4y1F7y7-023354,bilibili,太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1Wm4y1F7y7-023357,bilibili,抱歉太贵,价格高,太贵,0.78
GRP-BILI-DM-BV1Rh4y1A7o5-025786,bilibili,但是雨衣完全不透气,不透气,不透气,0.81
GRP-BILI-DM-BV1Rh4y1A7o5-025790,bilibili,雨衣不透气 这个透气,不透气,不透气,0.81
GRP-BILI-DM-BV1Rh4y1A7o5-025910,bilibili,透气就不防水 防水就不透气,不透气,不透气,0.81
GRP-BILI-DM-BV1Rh4y1A7o5-026070,bilibili,都太贵了,价格高,太贵,0.78
GRP-BILI-DM-BV1Rh4y1A7o5-026222,bilibili,太重了不合适 我加一件两块的一次性雨衣就能防风雨,太重,太重,0.78
GRP-BILI-DM-BV1Rh4y1A7o5-026347,bilibili,城市用不着太贵的,价格高,太贵,0.78
GRP-BILI-DM-BV1Rh4y1A7o5-026667,bilibili,就穿个几分钟，能感觉得出透不透气才怪,不透气,不透气,0.81
GRP-BILI-DM-BV1QH4y1m7Mt-027127,bilibili,我买了这个，小个子不要买，显胖，还大侧面看不好看,版型差,显胖,0.78
GRP-BILI-DM-BV1xG41137RC-028692,bilibili,………必经紧盯字幕，否则只能听懂一半不到，口音实在太太太太重了,太重,太重,0.78
GRP-BILI-DM-BV1Jy4y1F7mt-030249,bilibili,攀子起球严重,不耐磨,起球,0.78
GRP-BILI-DM-BV14V4y137Vb-031482,bilibili,可能因为衣服太贵了所以忍不住看看,价格高,太贵,0.78
GRP-BILI-DM-BV1HP411c7jo-031884,bilibili,太贵了吧,价格高,太贵,0.78
GRP-BILI-DM-BV1Gh4y1T7Nb-032657,bilibili,不透气,不透气,不透气,0.81
GRP-BILI-CM-BV15J41197dL-000098,bilibili,我个人认为，想入穿搭圈的学生党们不用急着买风格很强烈的国潮，一方面是价格高，另一方面是你穿不来，你穿和模特上身不是一个样儿。 可以先从简单的纯色系衣服穿起，了解一下衣服颜色怎么衬托呼应，培养自己的审美，等自己有一定穿搭经验了再去买，你的见解就会深刻许多。 其实穿腻了各种工装裤军裤牛仔裤，我觉得最简单好看的还是抽绳黑色卫裤ᐕ) 各种花里胡哨的的工装棉服不如简单的棒球服套卫衣,价格高,价格高,0.81
GRP-BILI-CM-BV14x4y1t7z1-000130,bilibili,emmm，现在天气热我还是穿我的洞洞鞋吧！那个雨鞋，大热天，穿了不透气啊！冬天的话可能还行，哈哈哈哈哈[笑哭][笑哭],不透气,不透气,0.81
GRP-BILI-CM-BV14x4y1t7z1-000152,bilibili,up就是这种流行趋势和审美的受众，所以可能刚开始不理解，但后面看着好穿搭也就会买。但有些人不会只看是否好穿搭还会看到底值不值，以及本身对于追逐潮流的厌恶，也就不会去买了,价格高,不值,0.78
GRP-BILI-CM-BV14x4y1t7z1-000200,bilibili,[疑惑]我不理解，雨靴本来就不透气为啥有大牌,不透气,不透气,0.81
GRP-BILI-CM-BV11u4m1c7PL-000640,bilibili,怎么说呢 老钱风感觉挺适合办公室上班穿的 见客户什么的也得体大方正式 其实只要不是去干苦力活 不理解为什么会不实用,不适合通勤,不实用,0.81
GRP-BILI-CM-BV11u4m1c7PL-000670,bilibili,[酸了]只有我每天看到什么穿什么吗，完全不考虑搭配，工作日上b班完全不值得收拾自己，六日在家不用穿衣服,价格高,不值,0.78
GRP-BILI-CM-BV1EBjMz7EXa-000772,bilibili,好看是好看，就是太贵了，就算是打折也要600+[笑哭],价格高,太贵,0.78
GRP-BILI-CM-BV1UX4y117Em-000858,bilibili,hamcus的衣服需要自己研究搭配，按照官网一套搭根本穿不出去，社死。我官网买了一些，海鲜市场淘了一些，有些到手后实在没有勇气穿出去。,不适合通勤,穿不出去,0.84
GRP-BILI-CM-BV1UX4y117Em-000921,bilibili,好贵[辣眼睛],价格高,好贵,0.78
GRP-BILI-CM-BV1UX4y117Em-000923,bilibili,这些品牌说白了就是做小众人生意，每款衣服根本没生产几件，单价当然上去了，实际上远远不值。,价格高,不值,0.78
GRP-BILI-CM-BV1QE411t7zv-001198,bilibili,阿迪tubular doom内个底是真的不耐磨我中空部分都磨得不行了……的都,不耐磨,不耐磨,0.81
GRP-BILI-CM-BV1kSKHe6EMn-001289,bilibili,呃，感觉灰人这个概念，并不值得挖掘啊。,价格高,不值,0.78
GRP-BILI-CM-BV1Db411w7Eu-001423,bilibili,关键这个牌子真是不打折太贵了,价格高,太贵,0.78
GRP-BILI-CM-BV12h4y177sB-001536,bilibili,好贵呀…,价格高,好贵,0.78
GRP-BILI-CM-BV1wY411A7Ky-001861,bilibili,最喜欢327系列但都好贵……,价格高,好贵,0.78
GRP-BILI-CM-BV1wY411A7Ky-001866,bilibili,就是太重了 5740,太重,太重,0.78
GRP-BILI-CM-BV1WJ411B7iK-002045,bilibili,我也穿过rl的老款上过富士山 下山之后rl的裤子爆裆了 但有一说一 除了不透气都很棒,不透气,不透气,0.81
GRP-BILI-CM-BV1WJ411B7iK-002071,bilibili,买了，995买到了.好贵啊……,价格高,好贵,0.78
GRP-BILI-CM-BV17N4y1u7jq-002312,bilibili,胡抄贵了 还不值得,价格高,不值,0.78
GRP-BILI-CM-BV12k4y127na-002412,bilibili,还是nos rl顶 蛙尔和cttc虽然便宜但是质量差不少,不耐磨,质量差,0.81
GRP-BILI-CM-BV1Wm4y1F7y7-003102,bilibili,好贵,价格高,好贵,0.78
GRP-BILI-CM-BV1Wm4y1F7y7-003120,bilibili,太贵了这个rsj。,价格高,太贵,0.78
GRP-BILI-CM-BV1W54y1B77v-003281,bilibili,请教下大佬…机能风是不是防水面料的基本都不透气啊…最近心水石头岛的拆袖工装夹克…但是不透气…南方沿海不透气要死人的…求解答…,不透气,不透气,0.81
GRP-BILI-CM-BV1Rh4y1A7o5-003585,bilibili,还是好贵[辣眼睛] 哪里贵了，一直都是这个价格好吗[doge],价格高,好贵,0.78
GRP-BILI-CM-BV1Rh4y1A7o5-003665,bilibili,太贵，,价格高,太贵,0.78
GRP-BILI-CM-BV1hP411a7Pf-003856,bilibili,第一台水洗做旧259也太贵了吧，国潮没有国潮的觉悟吗？,价格高,太贵,0.78
GRP-BILI-CM-BV1hP411a7Pf-003903,bilibili,太贵了[大哭],价格高,太贵,0.78
GRP-BILI-CM-BV1fC4y1Z7DT-004160,bilibili,个人觉得冲锋衣虽然功能强大，但对于大多数身材平庸的人来说，穿上还是太容易显胖了,版型差,显胖,0.78
GRP-BILI-CM-BV1fC4y1Z7DT-004168,bilibili,标题党，不是说不值或者其他，但你标两百起，想着200多看看，结果一看，最低400多600多，真无语，欺骗别人过去，差评了,价格高,不值,0.78
GRP-BILI-CM-BV1fC4y1Z7DT-004186,bilibili,不透气是最大问题,不透气,不透气,0.81
GRP-BILI-CM-BV1AB4y1J7ED-004588,bilibili,初看感觉笨重，eg搭配还是顶！,太重,笨重,0.78
